icao,aerodrome_name,timestamp_utc,station_id,latitude,longitude,elevation,date_time,wind_direction,wind_speed,wind_gust,visibility,current_wx1,current_wx2,current_wx3,low_cloud_type,low_cloud_level,medium_cloud_type,medium_cloud_level,high_cloud_type,high_cloud_level,highest_cloud_type,highest_cloud_level,cloud_coverage,air_temperature,dew_point_temperature,altimeter,current_wx1_symbol,current_wx2_symbol,current_wx3_symbol,remarks,air_pressure_at_sea_level,eastward_wind,northward_wind,raw_metar
SPSO,Pisco,2026-01-01 00:00:00,SPSO,-13.73,-76.22,10.0,2026-05-01 00:00:00,210.0,14.0,,10000.0,,,,,,,,,,,,0.0,22.0,17.0,29.88,0.0,0.0,0.0,BIRD HAZARD RWY 22/04 PP000,1012.27,7.000000000000002,12.12435565298214,202601010000 METAR SPSO 010000Z 21014KT CAVOK 22/17 Q1012 RMK BIRD HAZARD RWY 22/04 PP000=
SPSO,Pisco,2026-01-01 01:00:00,SPSO,-13.73,-76.22,10.0,2026-05-01 01:00:00,210.0,11.0,,10000.0,,,,,,,,,,,,0.0,22.0,17.0,29.88,0.0,0.0,0.0,BIRD HAZARD RWY 22/04 PP000,1012.27,5.500000000000001,9.526279441628825,202601010100 METAR SPSO 010100Z 21011KT CAVOK 22/17 Q1012 RMK BIRD HAZARD RWY 22/04 PP000=
SPSO,Pisco,2026-01-01 02:00:00,SPSO,-13.73,-76.22,10.0,2026-05-01 02:00:00,220.0,12.0,,10000.0,,,,,,,,,,,,0.0,21.0,17.0,29.88,0.0,0.0,0.0,BIRD HAZARD RWY 22/04 PP000,1012.27,7.713451316238471,9.192533317427737,202601010200 METAR SPSO 010200Z 22012KT CAVOK 21/17 Q1012 RMK BIRD HAZARD RWY 22/04 PP000=
SPSO,Pisco,2026-01-01 03:00:00,SPSO,-13.73,-76.22,10.0,2026-05-01 03:00:00,210.0,13.0,,10000.0,,,,,,,,,,,,0.0,21.0,17.0,29.88,0.0,0.0,0.0,BIRD HAZARD RWY 22/04 PP000,1012.27,6.500000000000002,11.258330249197702,202601010300 METAR SPSO 010300Z 21013KT CAVOK 21/17 Q1012 RMK BIRD HAZARD RWY 22/04 PP000=
SPSO,Pisco,2026-01-01 04:00:00,SPSO,-13.73,-76.22,10.0,2026-05-01 04:00:00,210.0,8.0,,10000.0,,,,,,,,,,,,0.0,21.0,17.0,29.88,0.0,0.0,0.0,BIRD HAZARD RWY 22/04 PP000,1012.27,4.000000000000001,6.928203230275509,202601010400 METAR SPSO 010400Z 21008KT CAVOK 21/17 Q1012 RMK BIRD HAZARD RWY 22/04 PP000=
SPSO,Pisco,2026-01-01 05:00:00,SPSO,-13.73,-76.22,10.0,2026-05-01 05:00:00,220.0,8.0,,10000.0,,,,,,,,,,,,0.0,21.0,17.0,29.88,0.0,0.0,0.0,BIRD HAZARD RWY 22/04 PP000,1012.27,5.142300877492314,6.128355544951824,202601010500 METAR SPSO 010500Z 22008KT CAVOK 21/17 Q1012 RMK BIRD HAZARD RWY 22/04 PP000=
SPSO,Pisco,2026-01-01 06:00:00,SPSO,-13.73,-76.22,10.0,2026-05-01 06:00:00,210.0,9.0,,10000.0,,,,,,,,,,,,0.0,20.0,16.0,29.88,0.0,0.0,0.0,BIRD HAZARD RWY 22/04 PP000,1012.28,4.500000000000001,7.794228634059947,202601010600 METAR SPSO 010600Z 21009KT CAVOK 20/16 Q1012 RMK BIRD HAZARD RWY 22/04 PP000=
SPSO,Pisco,2026-01-01 07:00:00,SPSO,-13.73,-76.22,10.0,2026-05-01 07:00:00,150.0,3.0,,8000.0,,,,NSC,,,,,,,,0.0,20.0,16.0,29.88,0.0,0.0,0.0,BIRD HAZARD RWY 22/04 PP000,1012.28,-1.4999999999999998,2.598076211353316,202601010700 METAR SPSO 010700Z 15003KT 090V200 8000 NSC 20/16 Q1012 RMK BIRD HAZARD RWY 22/04 PP000=
SPSO,Pisco,2026-01-01 08:00:00,SPSO,-13.73,-76.22,10.0,2026-05-01 08:00:00,120.0,3.0,,8000.0,,,,NSC,,,,,,,,0.0,19.0,15.0,29.85,0.0,0.0,0.0,BIRD HAZARD RWY 22/04 PP000,1011.28,-2.598076211353316,1.4999999999999993,202601010800 METAR SPSO 010800Z 12003KT 8000 NSC 19/15 Q1011 RMK BIRD HAZARD RWY 22/04 PP000=
SPSO,Pisco,2026-01-01 09:00:00,SPSO,-13.73,-76.22,10.0,2026-05-01 09:00:00,100.0,3.0,,10000.0,,,,,,,,,,,,0.0,18.0,15.0,29.88,0.0,0.0,0.0,BIRD HAZARD RWY 22/04 PP000,1012.29,-2.954423259036624,0.5209445330007909,202601010900 METAR SPSO 010900Z 10003KT CAVOK 18/15 Q1012 RMK BIRD HAZARD RWY 22/04 PP000=
